DOI,yi,vi
10.1007/s11056-014-9442-8,0.801,0.088
10.1007/s11056-014-9442-8,0.717,0.051
10.1007/s11056-014-9442-8,0.496,0.036
10.1007/s11056-014-9442-8,0.728,0.049
10.1007/s11056-009-9143-x,1.279,0.001
10.1007/s11056-009-9143-x,2.285,0.001
10.1007/s11056-009-9143-x,1.407,0.001
10.1007/s11056-009-9143-x,-0.311,0.001
10.1111/rec.12406,0.112,0.035
10.1016/0378-1127(93)90002-5,-0.175,0.001
10.1007/s11104-006-9034-2,-0.141,0.031
10.1007/s11104-006-9034-2,0.543,0.071
10.1051/forest:19970305,0.488,0.002
10.1371/journal.pone.0021943,0.325,0.001
10.1371/journal.pone.0021943,0.066,0.001
10.1016/j.soilbio.2010.10.021,-0.031,0.005
10.1016/j.soilbio.2009.07.026,1.150,0.056
10.1016/j.soilbio.2009.07.026,1.086,0.014
10.1016/j.soilbio.2009.07.026,0.167,0.002
10.1016/j.soilbio.2009.07.026,0.977,0.015
10.1016/j.soilbio.2009.07.026,0.502,0.010
10.1016/j.soilbio.2009.07.026,0.323,0.010
10.1007/s00572-008-0203-4,1.277,0.014
10.1007/s00572-008-0203-4,1.890,0.041
10.1007/s00572-008-0203-4,0.657,0.004
10.1007/s00572-008-0203-4,1.986,0.073
10.1007/s00572-008-0203-4,2.012,0.073
10.1007/s00572-008-0203-4,0.695,0.007
10.1007/s00572-008-0203-4,0.718,0.014
10.1007/s00572-008-0203-4,-0.016,0.002
10.1016/j.apsoil.2019.103370,0.635,0.178
10.1016/j.apsoil.2019.103370,1.104,0.130
wos:000283973300014,0.298,0.002
wos:000283973300014,0.170,0.002
wos:000283973300014,0.187,0.002
wos:000283973300014,0.077,0.002
wos:000283973300014,0.069,0.002
10.1016/j.ecoleng.2021.106191,0.544,0.004
10.1016/j.ecoleng.2021.106191,0.855,0.003
10.1007/bf00204019,0.526,0.018
10.1007/bf00204019,1.374,0.048
10.1007/bf00204019,0.961,0.023
10.1111/j.1526-100x.2006.00188.x,0.288,0.007
10.1111/j.1526-100x.2006.00188.x,-0.312,0.025
10.1111/j.1526-100x.2006.00188.x,0.375,0.012
10.1111/j.1526-100x.2006.00188.x,-0.063,0.006
10.1111/j.1526-100x.2006.00188.x,-0.288,0.010
10.1111/j.1526-100x.2006.00188.x,-0.423,0.022
10.1111/j.1526-100x.2006.00188.x,-0.405,0.003
10.1128/aem.67.2.495-498.2001/format/epub,0.940,0.001
10.31055/1851.2372.v53.n2.20537,0.849,0.084
10.31055/1851.2372.v53.n2.20537,0.419,0.065
10.3390/su12124976,0.323,0.038
10.3390/su12124976,0.545,0.024
10.3390/su12124976,1.822,0.078
10.3390/su12124976,0.500,0.040
10.3390/su12124976,0.387,0.017
10.3390/su12124976,-0.235,0.006
10.3390/su12124976,0.760,0.011
10.3390/su12124976,-0.132,0.005
10.1007/s00572-008-0178-1,0.460,0.040
10.1007/s00572-008-0178-1,0.400,0.030
10.1007/s00572-008-0178-1,0.560,0.030
10.1007/s00572-008-0178-1,1.150,0.100
10.1007/s00374-004-0788-5,1.990,0.000
10.1007/s00374-004-0788-5,1.230,0.000
10.1139/cjb-2015-0226,0.320,0.430
10.1139/cjb-2015-0226,-1.620,5.130
10.1139/cjb-2015-0226,0.690,0.610
10.1139/cjb-2015-0226,-0.350,0.400
10.1007/s003740050351,2.010,0.810
10.1007/s00468-002-0223-1,1.170,0.430
10.1007/s00468-002-0223-1,-0.010,0.080
10.1007/s00468-002-0223-1,1.390,0.090
10.1111/rec.12287,0.700,3.170
10.1111/rec.12287,0.460,0.070
10.1016/j.jaridenv.2011.04.008,0.120,0.000
10.2111/rem-d-11-00016.1,1.730,0.370
10.2111/rem-d-11-00016.1,1.200,0.030
10.2111/rem-d-11-00016.1,1.140,0.140
10.3852/mycologia.100.1.6,0.330,0.050